timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target
50,1.0,-2.4,-0.6349845,0.0179,48.0,56.788887,0.0,130.0,5111.0,4329.0,1.0,63.498447,90.0
51,1.0,-2.4,-0.630236,0.0177,48.0,56.31111,0.0,146.0,5068.0,4329.0,1.0,63.0236,90.0
52,1.0,-2.4,-0.63027376,0.0176,48.0,56.5,0.0,141.0,5085.0,4330.0,1.0,63.027374,30.0
53,1.0,-2.4,-0.6307286,0.0175,48.0,56.58889,0.0,131.0,5093.0,4331.0,1.0,63.07286,90.0
54,1.0,-2.4,-0.6313958,0.0175,48.0,56.455555,0.0,131.0,5081.0,4329.0,1.0,63.13958,30.0
55,1.0,-2.4,-0.621888,0.0178,48.0,55.466667,0.0,132.0,4992.0,4330.0,1.0,62.1888,70.0
56,1.0,-2.4,-0.6260971,0.0177,48.0,55.511112,0.0,147.0,4996.0,4330.0,1.0,62.60971,90.0
57,1.0,-2.4,-0.6235236,0.0176,48.0,54.61111,0.0,166.0,4915.0,4329.0,1.0,62.35236,70.0
58,1.0,-2.4,-0.6236246,0.0176,48.0,54.97778,0.0,141.0,4948.0,4330.0,1.0,62.36246,50.0
59,1.0,-2.4,-0.62091994,0.0177,48.0,54.922222,0.0,159.0,4943.0,4330.0,1.0,62.091995,70.0
60,1.0,-2.4,-0.6274281,0.0178,48.0,55.27778,0.0,160.0,4975.0,4330.0,1.0,62.742813,10.0
61,1.0,-2.4,-0.62103164,0.0176,48.0,55.455555,0.0,164.0,4991.0,4330.0,1.0,62.103165,30.0
62,1.0,-2.4,-0.62192297,0.0176,48.0,55.02222,0.0,138.0,4952.0,4330.0,1.0,62.1923,50.0
63,1.0,-2.4,-0.62315476,0.0176,48.0,55.244446,0.0,150.0,4972.0,4331.0,1.0,62.315475,10.0
64,1.0,-2.4,-0.63603413,0.0177,48.0,56.733334,0.0,138.0,5106.0,4330.0,1.0,63.603413,10.0
65,1.0,-2.4,-0.62698877,0.0177,48.0,55.933334,0.0,145.0,5034.0,4330.0,1.0,62.698875,90.0
66,1.0,-2.4,-0.63161564,0.0176,48.0,56.077778,0.0,131.0,5047.0,4331.0,1.0,63.161564,30.0
67,1.0,-2.4,-0.62865233,0.0176,48.0,55.833332,0.0,128.0,5025.0,4330.0,1.0,62.865234,90.0
68,1.0,-2.4,-0.624705,0.0176,48.0,55.333332,0.0,149.0,4980.0,4330.0,1.0,62.4705,10.0
69,1.0,-2.4,-0.6282375,0.0175,48.0,56.0,0.0,128.0,5040.0,4331.0,1.0,62.82375,30.0
70,1.0,-2.4,-0.6240123,0.0177,48.0,55.033333,0.0,130.0,4953.0,4330.0,1.0,62.40123,90.0
71,1.0,-2.4,-0.61765325,0.0175,48.0,55.144444,0.0,126.0,4963.0,4330.0,1.0,61.765327,70.0
72,1.0,-2.4,-0.623648,0.0175,48.0,56.08889,0.0,123.0,5048.0,4330.0,1.0,62.3648,70.0
73,1.0,-2.4,-0.6098861,0.0175,48.0,54.27778,0.0,123.0,4885.0,4330.0,1.0,60.98861,30.0
74,1.0,-2.4,-0.6175922,0.0179,48.0,54.244446,0.0,125.0,4882.0,4332.0,1.0,61.75922,10.0
75,1.0,-2.4,-0.6182227,0.0177,48.0,54.8,0.0,133.0,4932.0,4330.0,1.0,61.822273,10.0
76,1.0,-2.4,-0.62300587,0.0176,48.0,55.066666,0.0,135.0,4956.0,4330.0,1.0,62.300587,30.0
77,1.0,-2.4,-0.6224649,0.0176,48.0,54.988888,0.0,136.0,4949.0,4331.0,1.0,62.24649,70.0
78,1.0,-2.4,-0.63507223,0.0176,48.0,56.255554,0.0,131.0,5063.0,4331.0,1.0,63.50722,50.0
79,1.0,-2.4,-0.62945074,0.0177,48.0,55.633335,0.0,140.0,5007.0,4331.0,1.0,62.945072,90.0
80,1.0,-2.4,-0.62555474,0.0175,48.0,55.455555,0.0,123.0,4991.0,4333.0,1.0,62.555473,10.0
81,1.0,-2.4,-0.6275062,0.0175,48.0,55.355556,0.0,83.0,4982.0,4332.0,1.0,62.750618,30.0
82,1.0,-2.4,-0.6173745,0.0176,48.0,54.81111,0.0,59.0,4933.0,4332.0,1.0,61.73745,70.0
83,1.0,-2.4,-0.6297405,0.0175,48.0,55.944443,0.0,135.0,5035.0,4332.0,1.0,62.97405,30.0
84,1.0,-2.4,-0.6184491,0.0178,48.0,54.455555,0.0,128.0,4901.0,4331.0,1.0,61.84491,30.0
85,1.0,-2.4,-0.6212258,0.0176,48.0,54.72222,0.0,128.0,4925.0,4331.0,1.0,62.122578,70.0
86,1.0,-2.4,-0.620835,0.0177,48.0,55.11111,0.0,140.0,4960.0,4331.0,1.0,62.0835,90.0
87,1.0,-2.4,-0.6193724,0.0177,48.0,54.52222,0.0,125.0,4907.0,4331.0,1.0,61.937244,10.0
88,1.0,-2.4,-0.6126292,0.0178,48.0,54.455555,0.0,133.0,4901.0,4331.0,1.0,61.262917,90.0
89,1.0,-2.4,-0.6199155,0.0178,48.0,54.933334,0.0,128.0,4944.0,4332.0,1.0,61.99155,10.0
90,1.0,-2.65,-0.64305425,0.0176,53.0,55.02222,0.0,138.0,4952.0,4332.0,1.0,64.30543,10.0
91,1.0,-2.65,-0.64499193,0.0176,53.0,54.633335,0.0,155.0,4917.0,4333.0,1.0,64.49919,70.0
92,1.0,-2.65,-0.65281,0.0176,53.0,55.6,0.0,207.0,5004.0,4332.0,1.0,65.281,90.0
93,1.0,-2.65,-0.6535125,0.0176,53.0,55.18889,0.0,255.0,4967.0,4332.0,1.0,65.35125,10.0
94,1.0,-2.65,-0.64777285,0.0178,53.0,55.1,0.0,262.0,4959.0,4333.0,1.0,64.77728,90.0
95,1.0,-2.65,-0.6503305,0.0175,53.0,55.2,0.0,207.0,4968.0,4332.0,1.0,65.03305,90.0
96,1.0,-2.65,-0.64530337,0.0176,53.0,54.788887,0.0,142.0,4931.0,4332.0,1.0,64.530334,10.0
97,1.0,-2.65,-0.6455974,0.0177,53.0,54.5,0.0,65.0,4905.0,4332.0,1.0,64.55974,10.0
98,1.0,-2.65,-0.61718535,0.0076,53.0,50.944443,0.0,20.0,4585.0,4332.0,1.0,61.718533,30.0
99,1.0,-2.65,-0.6217302,0.008,53.0,51.288887,0.0,21.0,4616.0,4333.0,1.0,62.173023,90.0
100,1.0,-2.65,-0.648625,0.0175,53.0,55.11111,0.0,65.0,4960.0,4332.0,1.0,64.8625,50.0
101,1.0,-2.65,-0.646465,0.0176,53.0,56.0,0.0,54.0,5040.0,4333.0,1.0,64.6465,30.0
102,1.0,-2.65,-0.6470967,0.0176,53.0,55.633335,0.0,103.0,5007.0,4333.0,1.0,64.70967,50.0
103,1.0,-2.65,-0.6550539,0.0175,53.0,56.72222,0.0,114.0,5105.0,4332.0,1.0,65.505394,10.0
104,1.0,-2.65,-0.66462797,0.0178,53.0,57.877777,0.0,118.0,5209.0,4332.0,1.0,66.4628,70.0
105,1.0,-2.65,-0.6407684,0.0176,53.0,54.422222,0.0,109.0,4898.0,4332.0,1.0,64.07684,30.0
106,1.0,-2.65,-0.46306497,0.0061,53.0,29.233334,0.0,16.0,2631.0,4332.0,1.0,46.306496,70.0
107,1.0,-2.65,-0.64798,0.0174,53.0,55.466667,0.0,121.0,4992.0,4332.0,1.0,64.798,10.0
108,1.0,-2.65,-0.64391714,0.0177,53.0,54.72222,0.0,84.0,4925.0,4334.0,1.0,64.391716,10.0
