timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target
896,1.0,-2.45,-0.2510325,0.0181,49.0,56.444443,0.0,117.0,5080.0,4345.0,1.0,25.10325,10.0
897,1.0,-2.45,-0.25080726,0.0179,49.0,57.355556,0.0,118.0,5162.0,4346.0,1.0,25.080725,10.0
898,1.0,-2.45,-0.25069955,0.018,49.0,57.9,0.0,111.0,5211.0,4345.0,1.0,25.069954,30.0
899,1.0,-2.45,-0.25128388,0.0178,49.0,57.288887,0.0,102.0,5156.0,4345.0,1.0,25.128387,10.0
900,1.0,-2.45,-0.25337687,0.018,49.0,57.27778,0.0,107.0,5155.0,4345.0,1.0,25.337688,10.0
901,1.0,-2.45,-0.25135577,0.0178,49.0,57.944443,0.0,133.0,5215.0,4346.0,1.0,25.135578,30.0
902,1.0,-2.45,-0.25065798,0.0179,49.0,57.47778,0.0,117.0,5173.0,4345.0,1.0,25.065798,90.0
903,1.0,-2.45,-0.25062516,0.0177,49.0,57.144444,0.0,103.0,5143.0,4346.0,1.0,25.062515,90.0
904,1.0,-2.45,-0.251365,0.0177,49.0,56.577778,0.0,57.0,5092.0,4345.0,1.0,25.1365,50.0
905,1.0,-2.45,-0.25257728,0.0179,49.0,57.322224,0.0,116.0,5159.0,4346.0,1.0,25.257729,70.0
906,1.0,-2.45,-0.25210324,0.0182,49.0,57.4,0.0,89.0,5166.0,4345.0,1.0,25.210325,30.0
907,1.0,-2.45,-0.251683,0.0179,49.0,57.955555,0.0,109.0,5216.0,4345.0,1.0,25.1683,50.0
908,1.0,-2.45,-0.25209913,0.018,49.0,57.366665,0.0,111.0,5163.0,4345.0,1.0,25.209913,70.0
909,1.0,-2.45,-0.2520675,0.018,49.0,57.11111,0.0,120.0,5140.0,4346.0,1.0,25.20675,50.0
910,1.0,-2.45,-0.2530125,0.018,49.0,56.97778,0.0,112.0,5128.0,4346.0,1.0,25.30125,70.0
911,1.0,-2.45,-0.25145376,0.0181,49.0,57.366665,0.0,118.0,5163.0,4347.0,1.0,25.145374,10.0
912,1.0,-2.45,-0.25128755,0.018,49.0,57.322224,0.0,102.0,5159.0,4346.0,1.0,25.128754,50.0
913,1.0,-2.45,-0.25108117,0.0179,49.0,56.9,0.0,96.0,5121.0,4345.0,1.0,25.108118,70.0
914,1.0,-2.45,-0.25159845,0.018,49.0,57.22222,0.0,118.0,5150.0,4346.0,1.0,25.159843,50.0
915,1.0,-2.45,-0.25085872,0.018,49.0,56.3,0.0,106.0,5067.0,4345.0,1.0,25.085873,90.0
916,1.0,-2.45,-0.25122905,0.0181,49.0,56.788887,0.0,112.0,5111.0,4345.0,1.0,25.122904,70.0
917,1.0,-2.45,-0.25119978,0.0181,49.0,56.52222,0.0,107.0,5087.0,4347.0,1.0,25.119978,10.0
918,1.0,-2.45,-0.2512083,0.0181,49.0,56.6,0.0,97.0,5094.0,4346.0,1.0,25.12083,30.0
919,1.0,-2.45,-0.2507454,0.0181,49.0,56.744446,0.0,114.0,5107.0,4346.0,1.0,25.074537,10.0
920,1.0,-2.45,-0.2506153,0.0182,49.0,57.044445,0.0,103.0,5134.0,4346.0,1.0,25.061531,50.0
921,1.0,-2.45,-0.25143626,0.0182,49.0,57.211113,0.0,106.0,5149.0,4346.0,1.0,25.143625,30.0
922,1.0,-2.45,-0.25184238,0.0181,49.0,56.577778,0.0,116.0,5092.0,4346.0,1.0,25.184238,10.0
923,1.0,-2.45,-0.25161895,0.018,49.0,57.4,0.0,115.0,5166.0,4346.0,1.0,25.161894,10.0
924,1.0,-2.45,-0.25095353,0.0179,49.0,57.211113,0.0,100.0,5149.0,4345.0,1.0,25.095352,70.0
925,1.0,-2.45,-0.25069925,0.018,49.0,56.288887,0.0,115.0,5066.0,4346.0,1.0,25.069925,30.0
926,1.0,-2.45,-0.25142375,0.0182,49.0,57.1,0.0,109.0,5139.0,4345.0,1.0,25.142376,70.0
927,1.0,-2.45,-0.25079858,0.018,49.0,55.72222,0.0,110.0,5015.0,4346.0,1.0,25.079859,10.0
928,1.0,-2.45,-0.25082982,0.018,49.0,56.02222,0.0,104.0,5042.0,4347.0,1.0,25.082981,70.0
